iteration,function operation,time elapsed
0,Resize dataset,7.653236389160156e-05
0,Append arrays,0.137312650680542
0,Update progress bar,0.0010340213775634766
1,Resize dataset,8.296966552734375e-05
1,Append arrays,0.09708929061889648
1,Update progress bar,0.0008141994476318359
2,Resize dataset,8.845329284667969e-05
2,Append arrays,1.7648193836212158
2,Update progress bar,0.0012540817260742188
3,Resize dataset,9.274482727050781e-05
3,Append arrays,0.09717226028442383
3,Update progress bar,0.0007855892181396484
4,Resize dataset,7.653236389160156e-05
4,Append arrays,0.09380054473876953
4,Update progress bar,0.0006971359252929688
5,Resize dataset,8.7738037109375e-05
5,Append arrays,0.11238694190979004
5,Update progress bar,0.0009708404541015625
6,Resize dataset,0.00013709068298339844
6,Append arrays,0.10101318359375
6,Update progress bar,0.0006897449493408203
7,Resize dataset,8.20159912109375e-05
7,Append arrays,0.11835598945617676
7,Update progress bar,0.0008273124694824219
8,Resize dataset,7.82012939453125e-05
8,Append arrays,0.09757494926452637
8,Update progress bar,0.0006983280181884766
9,Resize dataset,8.058547973632812e-05
9,Append arrays,0.10664033889770508
9,Update progress bar,0.0006806850433349609
10,Resize dataset,7.557868957519531e-05
10,Append arrays,0.10608768463134766
10,Update progress bar,0.0006959438323974609
11,Resize dataset,9.179115295410156e-05
11,Append arrays,0.15186381340026855
11,Update progress bar,0.0006954669952392578
12,Resize dataset,0.00011515617370605469
12,Append arrays,0.102569580078125
12,Update progress bar,0.0007021427154541016
13,Resize dataset,7.748603820800781e-05
13,Append arrays,0.15280747413635254
13,Update progress bar,0.0008802413940429688
14,Resize dataset,7.271766662597656e-05
14,Append arrays,0.11079120635986328
14,Update progress bar,0.0005948543548583984
15,Resize dataset,8.58306884765625e-05
15,Append arrays,0.11895751953125
15,Update progress bar,0.0007526874542236328
16,Resize dataset,7.772445678710938e-05
16,Append arrays,0.1265854835510254
16,Update progress bar,0.000904083251953125
17,Resize dataset,8.368492126464844e-05
17,Append arrays,0.1719498634338379
17,Update progress bar,0.0008876323699951172
18,Resize dataset,7.867813110351562e-05
18,Append arrays,0.10486292839050293
18,Update progress bar,0.0006880760192871094
19,Resize dataset,8.177757263183594e-05
19,Append arrays,0.13730335235595703
19,Update progress bar,0.0008392333984375
20,Resize dataset,0.00010132789611816406
20,Append arrays,0.11502408981323242
20,Update progress bar,0.000997781753540039
